"pathway","pval","padj","log2err","ES","NES","size"
"KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.749665327978581,0.902252076151213,0.0404934829859503,0.330322519579974,0.805389735554737,19
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY",0.346007604562738,0.560884353741497,0.144630528034484,-0.377095248035823,-1.09330304048008,17
"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_ESPG_TO_MICROTUBULE_RHOA_SIGNALING_PATHWAY",0.638700947225981,0.821556598821077,0.0483117581055019,0.372584393720018,0.881806204266181,17
"KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY",0.0585280715141935,0.15915316896726,0.321775918075361,-0.520549585794084,-1.44506913942989,15
"KEGG_MEDICUS_PATHOGEN_HCMV_GB_TO_PDGFR_RAS_ERK_SIGNALING_PATHWAY",0.0596019512285546,0.159984184876647,0.321775918075361,-0.519542367579725,-1.44227305621714,15
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNAI_AC_PKA_SIGNALING_PATHWAY",0.000694650124414652,0.00729792777998962,0.477270815362862,-0.601995925800443,-2.00417639438758,25
"KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNB_G_RHO_SIGNALING_PATHWAY",0.0287265698961881,0.0979479284940123,0.352487857583619,-0.419928186418315,-1.48151202091537,33
"KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY",0.843243243243243,0.945173745173745,0.0354665010333725,0.296559848131123,0.710996264474479,18
"KEGG_MEDICUS_PATHOGEN_HCMV_US28_TO_GNB_G_PI3K_NFKB_SIGNALING_PATHWAY",0.793710691823899,0.919982847341338,0.0349401058848478,0.296219277531909,0.784117800996158,31
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNAQ_PLCB_G_CALCINEURIN",0.0483049294057678,0.139775965940094,0.321775918075361,-0.53181956594766,-1.50121917770865,16
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNB_G_RAC_SIGNALING_PATHWAY",0.186602870813397,0.38066985645933,0.227987202850442,-0.355788251293471,-1.1850497574536,26
"KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_TNF_NFKB_SIGNALING_PATHWAY",0.839285714285714,0.945173745173745,0.0824344091527096,-0.259765269387088,-0.721120109459585,15
"KEGG_MEDICUS_PATHOGEN_HPV_E5_TO_EGFR_RAS_ERK_SIGNALING_PATHWAY",0.0291202359122686,0.098190547538889,0.352487857583619,-0.547466502596144,-1.51979171507064,15
"KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING",0.514363885088919,0.721169983217454,0.0588438169595807,0.419347444113362,0.978641528622314,16
